schedule_name,schedule_type,trial,rule,stop_reason,target_balanced_accuracy,stop_n_eval,stop_fraction_of_all_queries,stop_balanced_accuracy,stop_eval_time_seconds,stop_lane_coverage_fraction
mod30,deterministic_mod30,-1,target_95,target_0.95,0.8391580790141063,15,0.013404825737265416,0.9375,0.0036209199997756514,1.0
mod30,deterministic_mod30,-1,target_99,target_0.99,0.8744910507620687,15,0.013404825737265416,0.9375,0.0036209199997756514,1.0
mod30,deterministic_mod30,-1,stability,stable_w3_tol0.01,,135,0.12064343163538874,0.9138332715362748,0.003102321999904234,1.0
global_low_conf,global_low_confidence,-1,target_95,target_0.95_not_reached,0.8391580790141063,298,0.26630920464700625,0.610975233562489,0.0018243980002807803,1.0
global_low_conf,global_low_confidence,-1,target_99,target_0.99_not_reached,0.8744910507620687,298,0.26630920464700625,0.610975233562489,0.0018243980002807803,1.0
global_low_conf,global_low_confidence,-1,stability,stable_w3_tol0.01_not_reached,,298,0.26630920464700625,0.610975233562489,0.0018243980002807803,1.0
global_high_conf,global_high_confidence,-1,target_95,target_0.95,0.8391580790141063,15,0.013404825737265416,1.0,0.0017615799997656723,0.5
global_high_conf,global_high_confidence,-1,target_99,target_0.99,0.8744910507620687,15,0.013404825737265416,1.0,0.0017615799997656723,0.5
global_high_conf,global_high_confidence,-1,stability,stable_w3_tol0.01,,60,0.05361930294906166,1.0,0.0018680049997783499,1.0
hybrid_lane_low_conf,hybrid_lane_low_confidence,-1,target_95,target_0.95,0.8391580790141063,179,0.15996425379803395,0.8451312230027489,0.002507751999928587,1.0
hybrid_lane_low_conf,hybrid_lane_low_confidence,-1,target_99,target_0.99,0.8744910507620687,224,0.20017873100983022,0.8755253124796916,0.0020787809999092133,1.0
hybrid_lane_low_conf,hybrid_lane_low_confidence,-1,stability,stable_w3_tol0.01_not_reached,,298,0.26630920464700625,0.9031874039938557,0.001955849000296439,1.0
hybrid_lane_high_conf,hybrid_lane_high_confidence,-1,target_95,target_0.95,0.8391580790141063,15,0.013404825737265416,1.0,0.0021912150000389374,1.0
hybrid_lane_high_conf,hybrid_lane_high_confidence,-1,target_99,target_0.99,0.8744910507620687,15,0.013404825737265416,1.0,0.0021912150000389374,1.0
hybrid_lane_high_conf,hybrid_lane_high_confidence,-1,stability,stable_w3_tol0.01,,60,0.05361930294906166,1.0,0.0021228010000413633,1.0
hybrid_lane_round_robin,hybrid_lane_round_robin,-1,target_95,target_0.95,0.8391580790141063,15,0.013404825737265416,0.9375,0.0015355890000137151,1.0
hybrid_lane_round_robin,hybrid_lane_round_robin,-1,target_99,target_0.99,0.8744910507620687,15,0.013404825737265416,0.9375,0.0015355890000137151,1.0
hybrid_lane_round_robin,hybrid_lane_round_robin,-1,stability,stable_w3_tol0.01,,135,0.12064343163538874,0.9138332715362748,0.0019009510001524177,1.0
random_matched,random_matched,0,target_95,target_0.95,0.8391580790141063,15,0.013404825737265416,0.95,0.0016569670001445047,0.5
random_matched,random_matched,0,target_99,target_0.99,0.8744910507620687,15,0.013404825737265416,0.95,0.0016569670001445047,0.5
random_matched,random_matched,0,stability,stable_w3_tol0.01,,164,0.14655942806076855,0.8717055319458066,0.001900337999813928,1.0
random_matched,random_matched,1,target_95,target_0.95,0.8391580790141063,30,0.02680965147453083,0.8916666666666666,0.0016243309996752942,0.75
random_matched,random_matched,1,target_99,target_0.99,0.8744910507620687,30,0.02680965147453083,0.8916666666666666,0.0016243309996752942,0.75
random_matched,random_matched,1,stability,stable_w3_tol0.01,,209,0.1867739052725648,0.8972350230414747,0.0018806599996423756,1.0
random_matched,random_matched,2,target_95,target_0.95,0.8391580790141063,45,0.040214477211796246,0.8401098901098901,0.0018488099999558472,0.75
random_matched,random_matched,2,target_99,target_0.99,0.8744910507620687,75,0.06702412868632708,0.8792594466936572,0.0018023509996965004,1.0
random_matched,random_matched,2,stability,stable_w3_tol0.01,,269,0.24039320822162646,0.8394726867950912,0.0020990430002711946,1.0
random_matched,random_matched,3,target_95,target_0.95,0.8391580790141063,15,0.013404825737265416,1.0,0.001553067000259034,0.0
random_matched,random_matched,3,target_99,target_0.99,0.8744910507620687,15,0.013404825737265416,1.0,0.001553067000259034,0.0
random_matched,random_matched,3,stability,stable_w3_tol0.01,,149,0.13315460232350312,0.9198420258791775,0.0018520200001148623,1.0
random_matched,random_matched,4,target_95,target_0.95,0.8391580790141063,15,0.013404825737265416,0.8541666666666666,0.0014956209997762926,0.5
random_matched,random_matched,4,target_99,target_0.99,0.8744910507620687,45,0.040214477211796246,0.8772435897435897,0.0016648989999339392,0.875
random_matched,random_matched,4,stability,stable_w3_tol0.01,,105,0.0938337801608579,0.8890921350739023,0.0018280450003658189,1.0
random_matched,random_matched,5,target_95,target_0.95,0.8391580790141063,15,0.013404825737265416,0.9166666666666666,0.0015133260003494797,0.25
random_matched,random_matched,5,target_99,target_0.99,0.8744910507620687,15,0.013404825737265416,0.9166666666666666,0.0015133260003494797,0.25
random_matched,random_matched,5,stability,stable_w3_tol0.01,,135,0.12064343163538874,0.8883233883233884,0.001972075000139739,1.0
random_matched,random_matched,6,target_95,target_0.95,0.8391580790141063,15,0.013404825737265416,0.95,0.0014922200002729369,0.125
random_matched,random_matched,6,target_99,target_0.99,0.8744910507620687,15,0.013404825737265416,0.95,0.0014922200002729369,0.125
random_matched,random_matched,6,stability,stable_w3_tol0.01,,149,0.13315460232350312,0.9007774140752864,0.0018410239999866462,1.0
random_matched,random_matched,7,target_95,target_0.95,0.8391580790141063,30,0.02680965147453083,0.9375,0.0016336180001417233,0.5
random_matched,random_matched,7,target_99,target_0.99,0.8744910507620687,30,0.02680965147453083,0.9375,0.0016336180001417233,0.5
random_matched,random_matched,7,stability,stable_w3_tol0.01,,194,0.17336907953529937,0.9106267507002801,0.0018731730001491087,1.0
random_matched,random_matched,8,target_95,target_0.95,0.8391580790141063,15,0.013404825737265416,0.95,0.0015336420001403894,0.625
random_matched,random_matched,8,target_99,target_0.99,0.8744910507620687,15,0.013404825737265416,0.95,0.0015336420001403894,0.625
random_matched,random_matched,8,stability,stable_w3_tol0.01,,164,0.14655942806076855,0.9188451898978214,0.002372462000039377,1.0
random_matched,random_matched,9,target_95,target_0.95,0.8391580790141063,15,0.013404825737265416,0.9375,0.0015412259999720845,0.25
random_matched,random_matched,9,target_99,target_0.99,0.8744910507620687,15,0.013404825737265416,0.9375,0.0015412259999720845,0.25
random_matched,random_matched,9,stability,stable_w3_tol0.01,,164,0.14655942806076855,0.8925374433995124,0.001924406999933126,1.0
random_matched,random_matched,10,target_95,target_0.95,0.8391580790141063,15,0.013404825737265416,0.9166666666666666,0.0014803149997533183,0.25
random_matched,random_matched,10,target_99,target_0.99,0.8744910507620687,15,0.013404825737265416,0.9166666666666666,0.0014803149997533183,0.25
random_matched,random_matched,10,stability,stable_w3_tol0.01,,120,0.10723860589812333,0.8923578751164959,0.001831410000249889,1.0
random_matched,random_matched,11,target_95,target_0.95,0.8391580790141063,15,0.013404825737265416,0.9375,0.001483766000092146,0.25
random_matched,random_matched,11,target_99,target_0.99,0.8744910507620687,15,0.013404825737265416,0.9375,0.001483766000092146,0.25
random_matched,random_matched,11,stability,stable_w3_tol0.01,,120,0.10723860589812333,0.9082636711947056,0.0017725369998515816,1.0
random_matched,random_matched,12,target_95,target_0.95,0.8391580790141063,15,0.013404825737265416,0.875,0.0014778179997847474,0.5
random_matched,random_matched,12,target_99,target_0.99,0.8744910507620687,15,0.013404825737265416,0.875,0.0014778179997847474,0.5
random_matched,random_matched,12,stability,stable_w3_tol0.01,,149,0.13315460232350312,0.8773277276456112,0.0018190609998782747,1.0
random_matched,random_matched,13,target_95,target_0.95,0.8391580790141063,90,0.08042895442359249,0.8676184926184927,0.0017476600000918552,1.0
random_matched,random_matched,13,target_99,target_0.99,0.8744910507620687,149,0.13315460232350312,0.8856894231894231,0.0018605919999572507,1.0
random_matched,random_matched,13,stability,stable_w3_tol0.01,,194,0.17336907953529937,0.8771627779490869,0.0018614479999996547,1.0
random_matched,random_matched,14,target_95,target_0.95,0.8391580790141063,15,0.013404825737265416,1.0,0.001532234000023891,0.375
random_matched,random_matched,14,target_99,target_0.99,0.8744910507620687,15,0.013404825737265416,1.0,0.001532234000023891,0.375
random_matched,random_matched,14,stability,stable_w3_tol0.01,,269,0.24039320822162646,0.880894473173885,0.0019417620001149771,1.0
random_matched,random_matched,15,target_95,target_0.95,0.8391580790141063,15,0.013404825737265416,0.95,0.0015066939999996976,0.75
random_matched,random_matched,15,target_99,target_0.99,0.8744910507620687,15,0.013404825737265416,0.95,0.0015066939999996976,0.75
random_matched,random_matched,15,stability,stable_w3_tol0.01,,164,0.14655942806076855,0.9057032563130124,0.0018649970002115879,1.0
random_matched,random_matched,16,target_95,target_0.95,0.8391580790141063,15,0.013404825737265416,1.0,0.0015257310001288715,0.375
random_matched,random_matched,16,target_99,target_0.99,0.8744910507620687,15,0.013404825737265416,1.0,0.0015257310001288715,0.375
random_matched,random_matched,16,stability,stable_w3_tol0.01,,149,0.13315460232350312,0.9242297265553079,0.0018605659997774637,1.0
random_matched,random_matched,17,target_95,target_0.95,0.8391580790141063,30,0.02680965147453083,0.8774801587301587,0.0016238950001934427,0.875
random_matched,random_matched,17,target_99,target_0.99,0.8744910507620687,30,0.02680965147453083,0.8774801587301587,0.0016238950001934427,0.875
random_matched,random_matched,17,stability,stable_w3_tol0.01,,164,0.14655942806076855,0.8851429245450984,0.0017687099998511258,1.0
random_matched,random_matched,18,target_95,target_0.95,0.8391580790141063,105,0.0938337801608579,0.8434343434343434,0.0017214150002473616,1.0
random_matched,random_matched,18,target_99,target_0.99,0.8744910507620687,224,0.20017873100983022,0.8780937973275434,0.001858385000105045,1.0
random_matched,random_matched,18,stability,stable_w3_tol0.01,,149,0.13315460232350312,0.842529494336059,0.001906600999973307,1.0
random_matched,random_matched,19,target_95,target_0.95,0.8391580790141063,45,0.040214477211796246,0.8501602564102565,0.0017539949999445525,0.75
random_matched,random_matched,19,target_99,target_0.99,0.8744910507620687,298,0.26630920464700625,0.8778409774888648,0.003052163000120345,1.0
random_matched,random_matched,19,stability,stable_w3_tol0.01,,120,0.10723860589812333,0.8446852425180598,0.0018389419997220102,1.0
random_matched,random_matched,20,target_95,target_0.95,0.8391580790141063,15,0.013404825737265416,1.0,0.002523472000120819,0.25
random_matched,random_matched,20,target_99,target_0.99,0.8744910507620687,15,0.013404825737265416,1.0,0.002523472000120819,0.25
random_matched,random_matched,20,stability,stable_w3_tol0.01,,269,0.24039320822162646,0.8629933685396474,0.0019410439999774098,1.0
random_matched,random_matched,21,target_95,target_0.95,0.8391580790141063,45,0.040214477211796246,0.8532051282051282,0.0016581969998696877,0.875
random_matched,random_matched,21,target_99,target_0.99_not_reached,0.8744910507620687,298,0.26630920464700625,0.8739114114114115,0.0018295079999006703,1.0
random_matched,random_matched,21,stability,stable_w3_tol0.01,,135,0.12064343163538874,0.8590618939883645,0.0017961419998755446,1.0
random_matched,random_matched,22,target_95,target_0.95,0.8391580790141063,75,0.06702412868632708,0.8560855263157895,0.001721732000078191,0.875
random_matched,random_matched,22,target_99,target_0.99,0.8744910507620687,135,0.12064343163538874,0.8745596315449256,0.0018112800003109442,1.0
random_matched,random_matched,22,stability,stable_w3_tol0.01,,135,0.12064343163538874,0.8745596315449256,0.0018112800003109442,1.0
random_matched,random_matched,23,target_95,target_0.95,0.8391580790141063,15,0.013404825737265416,1.0,0.0016418360000898247,0.5
random_matched,random_matched,23,target_99,target_0.99,0.8744910507620687,15,0.013404825737265416,1.0,0.0016418360000898247,0.5
random_matched,random_matched,23,stability,stable_w3_tol0.01,,224,0.20017873100983022,0.8862621753246753,0.0018904249996012368,1.0
random_matched,random_matched,24,target_95,target_0.95,0.8391580790141063,15,0.013404825737265416,0.9375,0.001563882000027661,0.375
random_matched,random_matched,24,target_99,target_0.99,0.8744910507620687,15,0.013404825737265416,0.9375,0.001563882000027661,0.375
random_matched,random_matched,24,stability,stable_w3_tol0.01,,239,0.21358355674709562,0.8697115315419046,0.001866661999883945,1.0
random_matched,random_matched,25,target_95,target_0.95,0.8391580790141063,15,0.013404825737265416,1.0,0.0015328439999393595,0.125
random_matched,random_matched,25,target_99,target_0.99,0.8744910507620687,15,0.013404825737265416,1.0,0.0015328439999393595,0.125
random_matched,random_matched,25,stability,stable_w3_tol0.01,,254,0.22698838248436104,0.8899587833525086,0.0022674709998682374,1.0
random_matched,random_matched,26,target_95,target_0.95,0.8391580790141063,15,0.013404825737265416,0.9166666666666666,0.0016227210003307846,0.75
random_matched,random_matched,26,target_99,target_0.99,0.8744910507620687,15,0.013404825737265416,0.9166666666666666,0.0016227210003307846,0.75
random_matched,random_matched,26,stability,stable_w3_tol0.01,,194,0.17336907953529937,0.8935309973045823,0.0020484810002017184,1.0
random_matched,random_matched,27,target_95,target_0.95,0.8391580790141063,15,0.013404825737265416,0.875,0.0014729950003129488,0.375
random_matched,random_matched,27,target_99,target_0.99,0.8744910507620687,15,0.013404825737265416,0.875,0.0014729950003129488,0.375
random_matched,random_matched,27,stability,stable_w3_tol0.01,,194,0.17336907953529937,0.8829218309397338,0.0019459620002635347,1.0
random_matched,random_matched,28,target_95,target_0.95,0.8391580790141063,15,0.013404825737265416,0.9166666666666666,0.001467906000016228,0.625
random_matched,random_matched,28,target_99,target_0.99,0.8744910507620687,15,0.013404825737265416,0.9166666666666666,0.001467906000016228,0.625
random_matched,random_matched,28,stability,stable_w3_tol0.01,,209,0.1867739052725648,0.9119823759358643,0.0018792490000123507,1.0
random_matched,random_matched,29,target_95,target_0.95,0.8391580790141063,75,0.06702412868632708,0.8656355562820094,0.0017235029999937979,0.875
random_matched,random_matched,29,target_99,target_0.99,0.8744910507620687,90,0.08042895442359249,0.8775824175824175,0.0019485699999677308,1.0
random_matched,random_matched,29,stability,stable_w3_tol0.01,,149,0.13315460232350312,0.8894200285329317,0.0018763130001389072,1.0
