schedule_name,schedule_type,rule,stop_fraction,stop_bal_acc,stop_lane_coverage,stop_n_eval,stop_reason,random_stop_fraction_mean,random_stop_fraction_std,random_stop_bal_acc_mean,random_stop_bal_acc_std,random_stop_lane_coverage_mean,random_stop_lane_coverage_std,random_stop_n_eval_mean,random_stop_n_eval_std,delta_stop_fraction_vs_random,delta_stop_bal_acc_vs_random,delta_lane_coverage_vs_random,delta_stop_n_eval_vs_random
mod30,deterministic_mod30,target_95,0.013404825737265416,0.9375,1.0,15,target_0.95,0.0259159964253798,0.022522454978427087,0.9188743117368688,0.054328001540024276,0.5333333333333333,0.280342565485494,29.0,25.202627120859912,-0.012511170688114385,0.018625688263131157,0.4666666666666667,-14.0
mod30,deterministic_mod30,target_99,0.013404825737265416,0.9375,1.0,15,target_0.99,0.05031277926720286,0.07343893709198714,0.9253331395681775,0.046706625152191955,0.575,0.32096299066918965,56.3,82.17817060593362,-0.03690795352993744,0.012166860431822468,0.42500000000000004,-41.3
mod30,deterministic_mod30,stability,0.12064343163538874,0.9138332715362748,1.0,135,stable_w3_tol0.01,0.15793863568662495,0.04274490893006968,0.8862385791828067,0.022114650559536618,1.0,0.0,176.73333333333332,47.83155309274796,-0.03729520405123621,0.02759469235346812,0.0,-41.73333333333332
global_low_conf,global_low_confidence,target_95,0.26630920464700625,0.610975233562489,1.0,298,target_0.95_not_reached,0.0259159964253798,0.022522454978427087,0.9188743117368688,0.054328001540024276,0.5333333333333333,0.280342565485494,29.0,25.202627120859912,0.24039320822162644,-0.3078990781743799,0.4666666666666667,269.0
global_low_conf,global_low_confidence,target_99,0.26630920464700625,0.610975233562489,1.0,298,target_0.99_not_reached,0.05031277926720286,0.07343893709198714,0.9253331395681775,0.046706625152191955,0.575,0.32096299066918965,56.3,82.17817060593362,0.2159964253798034,-0.3143579060056886,0.42500000000000004,241.7
global_low_conf,global_low_confidence,stability,0.26630920464700625,0.610975233562489,1.0,298,stable_w3_tol0.01_not_reached,0.15793863568662495,0.04274490893006968,0.8862385791828067,0.022114650559536618,1.0,0.0,176.73333333333332,47.83155309274796,0.1083705689603813,-0.27526334562031773,0.0,121.26666666666668
global_high_conf,global_high_confidence,target_95,0.013404825737265416,1.0,0.5,15,target_0.95,0.0259159964253798,0.022522454978427087,0.9188743117368688,0.054328001540024276,0.5333333333333333,0.280342565485494,29.0,25.202627120859912,-0.012511170688114385,0.08112568826313116,-0.033333333333333326,-14.0
global_high_conf,global_high_confidence,target_99,0.013404825737265416,1.0,0.5,15,target_0.99,0.05031277926720286,0.07343893709198714,0.9253331395681775,0.046706625152191955,0.575,0.32096299066918965,56.3,82.17817060593362,-0.03690795352993744,0.07466686043182247,-0.07499999999999996,-41.3
global_high_conf,global_high_confidence,stability,0.05361930294906166,1.0,1.0,60,stable_w3_tol0.01,0.15793863568662495,0.04274490893006968,0.8862385791828067,0.022114650559536618,1.0,0.0,176.73333333333332,47.83155309274796,-0.10431933273756328,0.11376142081719332,0.0,-116.73333333333332
hybrid_lane_low_conf,hybrid_lane_low_confidence,target_95,0.15996425379803395,0.8451312230027489,1.0,179,target_0.95,0.0259159964253798,0.022522454978427087,0.9188743117368688,0.054328001540024276,0.5333333333333333,0.280342565485494,29.0,25.202627120859912,0.13404825737265413,-0.07374308873411994,0.4666666666666667,150.0
hybrid_lane_low_conf,hybrid_lane_low_confidence,target_99,0.20017873100983022,0.8755253124796916,1.0,224,target_0.99,0.05031277926720286,0.07343893709198714,0.9253331395681775,0.046706625152191955,0.575,0.32096299066918965,56.3,82.17817060593362,0.14986595174262735,-0.04980782708848597,0.42500000000000004,167.7
hybrid_lane_low_conf,hybrid_lane_low_confidence,stability,0.26630920464700625,0.9031874039938557,1.0,298,stable_w3_tol0.01_not_reached,0.15793863568662495,0.04274490893006968,0.8862385791828067,0.022114650559536618,1.0,0.0,176.73333333333332,47.83155309274796,0.1083705689603813,0.01694882481104898,0.0,121.26666666666668
hybrid_lane_high_conf,hybrid_lane_high_confidence,target_95,0.013404825737265416,1.0,1.0,15,target_0.95,0.0259159964253798,0.022522454978427087,0.9188743117368688,0.054328001540024276,0.5333333333333333,0.280342565485494,29.0,25.202627120859912,-0.012511170688114385,0.08112568826313116,0.4666666666666667,-14.0
hybrid_lane_high_conf,hybrid_lane_high_confidence,target_99,0.013404825737265416,1.0,1.0,15,target_0.99,0.05031277926720286,0.07343893709198714,0.9253331395681775,0.046706625152191955,0.575,0.32096299066918965,56.3,82.17817060593362,-0.03690795352993744,0.07466686043182247,0.42500000000000004,-41.3
hybrid_lane_high_conf,hybrid_lane_high_confidence,stability,0.05361930294906166,1.0,1.0,60,stable_w3_tol0.01,0.15793863568662495,0.04274490893006968,0.8862385791828067,0.022114650559536618,1.0,0.0,176.73333333333332,47.83155309274796,-0.10431933273756328,0.11376142081719332,0.0,-116.73333333333332
hybrid_lane_round_robin,hybrid_lane_round_robin,target_95,0.013404825737265416,0.9375,1.0,15,target_0.95,0.0259159964253798,0.022522454978427087,0.9188743117368688,0.054328001540024276,0.5333333333333333,0.280342565485494,29.0,25.202627120859912,-0.012511170688114385,0.018625688263131157,0.4666666666666667,-14.0
hybrid_lane_round_robin,hybrid_lane_round_robin,target_99,0.013404825737265416,0.9375,1.0,15,target_0.99,0.05031277926720286,0.07343893709198714,0.9253331395681775,0.046706625152191955,0.575,0.32096299066918965,56.3,82.17817060593362,-0.03690795352993744,0.012166860431822468,0.42500000000000004,-41.3
hybrid_lane_round_robin,hybrid_lane_round_robin,stability,0.12064343163538874,0.9138332715362748,1.0,135,stable_w3_tol0.01,0.15793863568662495,0.04274490893006968,0.8862385791828067,0.022114650559536618,1.0,0.0,176.73333333333332,47.83155309274796,-0.03729520405123621,0.02759469235346812,0.0,-41.73333333333332
